"Title","Author(s)","Year","DOI","Category"
"No Free Lunch Theorems for Optimization","David H. Wolpert; William G. Macread",1997,"10.1109/4235.585893",
"On Computable Numbers, with an Application to the Entscheidungsproblem","A. M. Turing",1936,,
"On the Translation of Languages from Left to Right","Donald E. Knuth",1965,,
"Out of the Tar Pit","Ben Moseley; Peter Marks",2006,,
"P2M: A Fast Solver for Querying Distance from Point to Mesh Surface","Chen Zong; Jiacheng Xu; Jiantao Song; Shuangmin Chen; Shiqing Xin; Wenping Wang; Changhe Tu",2023,"10.1145/3592439",
"Progressive Meshes","Hugues Hoppe",1996,,"Graphics"
"Quantum Mechanical Computers ","Richard P. Feynman ",1986,"10.1007/BF01886518",
"Reducibility Among Combinatorial Problems","Richard M. Karp",1972,"10.1007/978-1-4684-2001-2_9",
"Reflection on Trusting Trust","Ken Thompson",1984,"10.1145/358198.358210",
"Robust Monte Carlo Methods for Light Transport Simulation","Eric Veach",1997,,
"Scannerless generalized-LR parsing","Eelco Visser",1999,,
"SCHEME: An Interpreter for Extended Lambda Calculus","Gerald Jay Sussman; Guy Lewis Steele Jr.",1975,,
"Screen Space Indirect Lighting with Visibility Bitmask","Olivier Therrien; Yannick Levesque; Guillaume Gilet",2023,"10.48550/arXiv.2301.11376",
"Selection Strategies for Commonsense Knowledge","Claudia Schon",2022,"10.48550/arXiv.2202.09163","Automated Reasoning"
"Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks","Nils Reimers; Iryna Gurevych",2019,"10.48550/arXiv.1908.10084","NLP"
"Sine Qua Non for Large Theory Reasoning","Kryštof Hoder; Andrei Voronkov",2011,"10.1007/978-3-642-22438-6_23","Automated Reasoning"
"Skip-Thought Vectors","Ryan Kiros; Yukun Zhu; Ruslan Salakhutdinov; Richard S. Zemel; Antonio Torralba; Raquel Urtasun; Sanja Fidler",2015,"10.48550/arXiv.1506.06726","NLP"
"SRASS - A Semantic Relevance Axiom Selection System","Geoff Sutcliffe; Yury Puzis",2007,"10.1007/978-3-540-73595-3_20","Automated Reasoning"
"Supervised Learning of Universal Sentence Representations from Natural Language Inference Data","Alexis Conneau; Douwe Kiela; Holger Schwenk; Loïc Barrault; Antoine Bordes",2018,"10.48550/arXiv.1705.02364","NLP"
"Surface Simplification Using Quadric Error Metrics","Michael Garland; Paul S. Heckbert",1997,"10.1145/258734.258849","Graphics"
"The Development of the C Language","Dennis M. Ritchie",1996,"10.1145/234286.1057834",
"The Next 700 Programming Languages","P. J. Landin",1966,"10.1145/365230.365257","Programming Languages"
"The Rendering Equation","James T. Kajiya",1986,"10.1145/15886.15902",
"The Supervised Learning No-Free-Lunch Theorems","David H. Wolpert",2001,,"Machine Learning"
"The UNIX Time-Sharing System","Dennis M. Ritchie; Ken Thompson",1974,"10.1145/361011.361061",
"Three Models for the Description of Language","Noam Chomsky",,,
"Universal Sentence Encoder","Daniel Cer; Yinfei Yang; Sheng-yi Kong; Nan Hua; Nicole Limtiaco; Rhomni St. John; Noah Constant; Mario Guajardo-Céspedes; Steve Yuan; Chris Tar; Yun-Hsuan Sung; Brian Strope; Ray Kurzweil",2018,"10.48550/arXiv.1803.11175","NLP"
"VIPER: Volume Invariant Position-based Elastic Rods","Baptiste Angles; Daniel Rebain; Miles Macklin; Brian Wyvill; Loic Barthe; JP Lewis; Javier von der Pahlen; Shahram Izadi; Julien Valentin; Sofien Bouaziz; Andrea Tagliasacchi",2019,"10.48550/arXiv.1906.05260",
"What Every Computer Scientist Should Know About Floating-Point Arithmetic","David Goldberg",1991,"10.1145/103162.10316",
"What Every Programmer Should Know About Memory","Ulrich Drepper",2007,,
